"idactivity","name","level","parent","description"
123,Vasodilator,6,121,Participates in widening of blood vessels
1,Amphibian defense,3,24,Molecule involved in amphibian defense mechanisms
76,Immunological activity,1,0,Activity related to the immune response of an organism
17,Antibacterial/antibiotic,3,24,Activity against bacteria
3,Antihypertensive,3,88,Molecule that could be used to treat hypertension 
20,Antifungal,3,24,Activity against fungi
107,Regulatory,3,88,The molecule is involved in regulatory process in a cell or organism
28,Antiprotozoal,3,24,Activity against protozoa
33,Eating behavior,3,88,"A peptide that modulates eating behavior, energy homeostasis or is related to eating disorders"
30,Antiviral,3,24,Activity against viral infection
116,Toxins,1,0,Poisonous substances with toxic effects on organisms
2,Angiogenic,6,121,Activity related to the growth of new blood vessels.
45,Cell proliferation,3,88,Participates in the processes of cell proliferation or growth.
10,Atheroma related,6,121,"Related to atheroma, an abnormal and reversible accumulation of material in the inner arterial wall."
4,Anti tb,4,17,Activity Agains Mycobacterium tuberculosis
36,Blood pressure,6,121,Involved in blood prossure processes
67,Enzymatic,3,88,"Related to enzymatic processes (activation, degradation, inhibition, among others)."
122,Vasoconstrictor,6,121,Participates in vascular processes and their regulation.
94,Neuropeptide,2,8,a molecule involved in neural processes
12,Anti gram(+),4,17,Activity against Gram-positive bacteria
72,Hormone,3,88,"Any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action."
6,Antiproliferative,3,19,Activity related to cell growth inhibition
75,Inflammatory modulator,3,88,It participates in the regulation of inflammatory processes or in their inhibition.
13,Anti gram(-),4,17,Activity against Gram-negative bacteria
97,Pain related,3,88,Involved in pain mechanisms or their signaling processes.
26,Antioxidant,3,40,Helps to reduce molecular oxidation
103,Protein modulator,3,88,"Involved in the regulation of proteins (activation, inhibition, among others)"
18,Antibiofilm,4,17,Useful against microbial biofilm formation
29,Antitumour,3,19,Able to stop or reduce tumours
39,Bacteriocins,4,17,Bacterial peptides with antibacterial activity
9,Apoptosis,3,45,Related to apoptosis process or mechanism
5,Antidote,2,116,A molecule that can counteract a particular poison or toxin.
7,Antiyeast,4,20,Activity against yeasts
92,Neurotoxin,2,116,a substance that has toxic effects on the structure or function of the nervous system
77,Immunomodulatory,2,76,Modulatory activity for innate and/or adaptive immune responses
8,Neurological activity,1,0,Activity related to the neurons or the nervous system
113,Sporulation,4,45,"Activity related to sporulation processes (spore formation, propagation, etc.)"
25,Antinociceptive,2,8,Able to block noxious stimulus (analgesic effect) 
22,Antilisterial,5,12,Activity against Listeria monocytogenes
42,Brain peptide,2,8,Peptides involved in the intracellular signals between neurons
11,Allergen,2,76,Triggers allergic reactions
82,Mhc binding and non-binding,2,76,Peptides that can bind with the major histocompatibility complex (MHC)
44,Cell degranulating,2,76,Process in which a cell releases cytotoxic molecules from a granule
118,Therapeutic,1,0,Able to be used for sickness treatments
52,Cytokine activity,2,76,Controls the growth and activity of other immune cells or blood cells.
19,Anticancer,2,118,Activity against cancerous cell
14,Anti hiv,4,30,Activity against HIV entry and/or replication
60,Cytolytic,3,119,Process that generates cell rupture
15,Anti hsv,4,30,Activity against Herpes simplex virus
24,Antimicrobial,2,118,Activity against unicellular organisms
16,Anti mrsa,5,12,Activity against Methicillin-resistant Staphylococcus aureus
119,Toxic,2,118,Cytotoxic activity against eukaryote organism cells
40,Bioactive,2,118,Active protein-derived peptides
51,Cryoprotective,3,40,Provides protection to cells during freezing
88,Metabolic,2,118,Useful for regulation of metabolism and homeostasis
21,Antiinflammatory,4,125,Useful for inflammation and pain
46,Channel/receptor modulator,2,84,Modulates binding to membrane receptors or channels
23,Antimalarial/antiplasmodial,4,28,Activity against Plasmodium
78,Insecticidal,3,119,Cytotoxic for insect cells
27,Antiparasitic,3,119,Activity against eukaryote parasites
32,Bacteria growth stimulator,3,83,Molecule that stimulates bacteria growth
54,Cytotoxic,3,119,A molecule that is toxic to cells
73,Hormone binding,2,84,A molecule that bind with hormone
90,Nematocide,3,119,Pesticide to control nematodes
34,Bile acid-binding,2,84,A molecule that bind with bile acid
31,Anuro defense,4,1,Peptides involved in the defense mechanism of the Anura order
53,Cytoprotective,2,96,A molecule that provides protection to cells against harmful agents. 
48,Chelator,2,84,A molecule involved in binding to metal ions.
79,Ligand binding,2,84,A molecule that bind with an specific ligand
63,Dna binding,2,84,A molecule that bind with DNA
81,Metal binding,2,84,A molecule that bind with metals
98,Peptide binding,2,84,A molecule that bind with peptides
80,Lipid binding,2,84,A molecule that bind with lipids
84,Molecule binding,1,0,Involved in molecule binding processes
114,Surface-immobilized,2,84,Immobilized molecules into inorganic materials
